TransactionNo,Items,DateTime,Daypart,DayType,Season
1,Bread,2016-10-30 09:58:11,Morning,Weekend,Spring
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend,Spring
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend,Spring
3,Hot chocolate,2016-10-30 10:07:57,Morning,Weekend,Spring
3,Jam,2016-10-30 10:07:57,Morning,Weekend,Spring
3,Cookies,2016-10-30 10:07:57,Morning,Weekend,Spring
4,Muffin,2016-10-30 10:08:41,Morning,Weekend,Spring
5,Coffee,2016-10-30 10:13:03,Morning,Weekend,Spring
5,Pastry,2016-10-30 10:13:03,Morning,Weekend,Spring
5,Bread,2016-10-30 10:13:03,Morning,Weekend,Spring
6,Medialuna,2016-10-30 10:16:55,Morning,Weekend,Spring
6,Pastry,2016-10-30 10:16:55,Morning,Weekend,Spring
6,Muffin,2016-10-30 10:16:55,Morning,Weekend,Spring
7,Medialuna,2016-10-30 10:19:12,Morning,Weekend,Spring
7,Pastry,2016-10-30 10:19:12,Morning,Weekend,Spring
7,Coffee,2016-10-30 10:19:12,Morning,Weekend,Spring
7,Tea,2016-10-30 10:19:12,Morning,Weekend,Spring
8,Pastry,2016-10-30 10:20:51,Morning,Weekend,Spring
8,Bread,2016-10-30 10:20:51,Morning,Weekend,Spring
9,Bread,2016-10-30 10:21:59,Morning,Weekend,Spring
9,Muffin,2016-10-30 10:21:59,Morning,Weekend,Spring
10,Scandinavian,2016-10-30 10:25:58,Morning,Weekend,Spring
10,Medialuna,2016-10-30 10:25:58,Morning,Weekend,Spring
11,Bread,2016-10-30 10:27:21,Morning,Weekend,Spring
11,Medialuna,2016-10-30 10:27:21,Morning,Weekend,Spring
11,Bread,2016-10-30 10:27:21,Morning,Weekend,Spring
12,Jam,2016-10-30 10:30:14,Morning,Weekend,Spring
12,Coffee,2016-10-30 10:30:14,Morning,Weekend,Spring
12,Tartine,2016-10-30 10:30:14,Morning,Weekend,Spring
12,Pastry,2016-10-30 10:30:14,Morning,Weekend,Spring
12,Tea,2016-10-30 10:30:14,Morning,Weekend,Spring
13,Basket,2016-10-30 10:31:24,Morning,Weekend,Spring
13,Bread,2016-10-30 10:31:24,Morning,Weekend,Spring
13,Coffee,2016-10-30 10:31:24,Morning,Weekend,Spring
14,Bread,2016-10-30 10:32:46,Morning,Weekend,Spring
14,Medialuna,2016-10-30 10:32:46,Morning,Weekend,Spring
14,Pastry,2016-10-30 10:32:46,Morning,Weekend,Spring
15,Mineral water,2016-10-30 10:34:36,Morning,Weekend,Spring
15,Scandinavian,2016-10-30 10:34:36,Morning,Weekend,Spring
16,Bread,2016-10-30 10:37:08,Morning,Weekend,Spring
16,Medialuna,2016-10-30 10:37:08,Morning,Weekend,Spring
16,Coffee,2016-10-30 10:37:08,Morning,Weekend,Spring
17,Hot chocolate,2016-10-30 10:38:04,Morning,Weekend,Spring
18,Farm House,2016-10-30 10:41:56,Morning,Weekend,Spring
19,Farm House,2016-10-30 10:43:08,Morning,Weekend,Spring
19,Bread,2016-10-30 10:43:08,Morning,Weekend,Spring
20,Bread,2016-10-30 10:45:22,Morning,Weekend,Spring
20,Medialuna,2016-10-30 10:45:22,Morning,Weekend,Spring
21,Coffee,2016-10-30 10:49:29,Morning,Weekend,Spring
21,Coffee,2016-10-30 10:49:29,Morning,Weekend,Spring
21,Medialuna,2016-10-30 10:49:29,Morning,Weekend,Spring
21,Bread,2016-10-30 10:49:29,Morning,Weekend,Spring
22,Jam,2016-10-30 10:52:15,Morning,Weekend,Spring
23,Scandinavian,2016-10-30 10:53:49,Morning,Weekend,Spring
23,Muffin,2016-10-30 10:53:49,Morning,Weekend,Spring
24,Bread,2016-10-30 10:54:33,Morning,Weekend,Spring
25,Scandinavian,2016-10-30 10:55:22,Morning,Weekend,Spring
26,Fudge,2016-10-30 10:56:08,Morning,Weekend,Spring
27,Scandinavian,2016-10-30 11:02:19,Morning,Weekend,Spring
28,Coffee,2016-10-30 11:03:24,Morning,Weekend,Spring
28,Bread,2016-10-30 11:03:24,Morning,Weekend,Spring
29,Bread,2016-10-30 11:05:30,Morning,Weekend,Spring
29,Jam,2016-10-30 11:05:30,Morning,Weekend,Spring
30,Bread,2016-10-30 11:07:19,Morning,Weekend,Spring
31,Basket,2016-10-30 11:12:56,Morning,Weekend,Spring
32,Scandinavian,2016-10-30 11:16:15,Morning,Weekend,Spring
32,Muffin,2016-10-30 11:16:15,Morning,Weekend,Spring
33,Coffee,2016-10-30 11:22:49,Morning,Weekend,Spring
34,Coffee,2016-10-30 11:25:45,Morning,Weekend,Spring
34,Muffin,2016-10-30 11:25:45,Morning,Weekend,Spring
35,Muffin,2016-10-30 11:27:34,Morning,Weekend,Spring
35,Scandinavian,2016-10-30 11:27:34,Morning,Weekend,Spring
36,Tea,2016-10-30 11:33:08,Morning,Weekend,Spring
36,Bread,2016-10-30 11:33:08,Morning,Weekend,Spring
37,Coffee,2016-10-30 11:37:10,Morning,Weekend,Spring
37,Bread,2016-10-30 11:37:10,Morning,Weekend,Spring
38,Bread,2016-10-30 11:42:40,Morning,Weekend,Spring
38,Tea,2016-10-30 11:42:40,Morning,Weekend,Spring
39,Scandinavian,2016-10-30 11:44:31,Morning,Weekend,Spring
40,Juice,2016-10-30 11:55:51,Morning,Weekend,Spring
40,Tartine,2016-10-30 11:55:51,Morning,Weekend,Spring
40,Coffee,2016-10-30 11:55:51,Morning,Weekend,Spring
40,Muffin,2016-10-30 11:55:51,Morning,Weekend,Spring
41,Scandinavian,2016-10-30 11:57:06,Morning,Weekend,Spring
42,Bread,2016-10-30 11:57:45,Morning,Weekend,Spring
42,Tea,2016-10-30 11:57:45,Morning,Weekend,Spring
43,Scandinavian,2016-10-30 12:00:22,Afternoon,Weekend,Spring
43,Fudge,2016-10-30 12:00:22,Afternoon,Weekend,Spring
44,Coffee,2016-10-30 12:05:47,Afternoon,Weekend,Spring
44,Medialuna,2016-10-30 12:05:47,Afternoon,Weekend,Spring
45,Coffee,2016-10-30 12:08:36,Afternoon,Weekend,Spring
45,Hot chocolate,2016-10-30 12:08:36,Afternoon,Weekend,Spring
45,Medialuna,2016-10-30 12:08:36,Afternoon,Weekend,Spring
46,Coffee,2016-10-30 12:09:04,Afternoon,Weekend,Spring
47,Ella's Kitchen Pouches,2016-10-30 12:15:29,Afternoon,Weekend,Spring
47,Juice,2016-10-30 12:15:29,Afternoon,Weekend,Spring
47,Bread,2016-10-30 12:15:29,Afternoon,Weekend,Spring
47,Muffin,2016-10-30 12:15:29,Afternoon,Weekend,Spring
47,Jam,2016-10-30 12:15:29,Afternoon,Weekend,Spring
48,Coffee,2016-10-30 12:17:02,Afternoon,Weekend,Spring
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend,Spring
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend,Spring
49,Medialuna,2016-10-30 12:23:01,Afternoon,Weekend,Spring
50,Bread,2016-10-30 12:25:11,Afternoon,Weekend,Spring
50,Victorian Sponge,2016-10-30 12:25:11,Afternoon,Weekend,Spring
51,Bread,2016-10-30 12:26:58,Afternoon,Weekend,Spring
52,Scandinavian,2016-10-30 12:28:07,Afternoon,Weekend,Spring
54,Bread,2016-10-30 12:33:08,Afternoon,Weekend,Spring
55,Frittata,2016-10-30 12:38:06,Afternoon,Weekend,Spring
55,Coffee,2016-10-30 12:38:06,Afternoon,Weekend,Spring
55,Tea,2016-10-30 12:38:06,Afternoon,Weekend,Spring
55,Hearty & Seasonal,2016-10-30 12:38:06,Afternoon,Weekend,Spring
56,Coffee,2016-10-30 12:39:27,Afternoon,Weekend,Spring
56,Frittata,2016-10-30 12:39:27,Afternoon,Weekend,Spring
57,Scandinavian,2016-10-30 12:45:48,Afternoon,Weekend,Spring
58,Victorian Sponge,2016-10-30 12:59:29,Afternoon,Weekend,Spring
